title,price,is_a_bid,link
Stephen King It Paperback,0.99,TRUE,https://www.ebay.com/itm/125522639641?hash=item1d39bb7b19:g:REoAAOSwF~1jKgje&amdata=enc%3AAQAHAAAAoDPCIXCSsAbgjAg4YBX9c2HmLouCfPe1iEXDKDxEZQSZ3XcVOsdsrdrPWApkG9%2Fbk%2FQ5KRVvBx8e1T44VHb%2FtOjM1vVsjZ4pKmn0xsrdwscaoaVCJJpfsBvlN0oLutLtly5MfVAciHUI0p7Db3l64SBQxVR9hm0qN6dbH4I6EUS82SNBEW3hRoqLD1RBeF8ekqENcwe7qPD2LmbT%2FC5lsOI%3D%7Ctkp%3ABk9SR5K_ic_tYA
"It - Mass Market Paperback By King, Stephen - ACCEPTABLE",4.39,FALSE,https://www.ebay.com/itm/254528808983?epid=476974&hash=item3b43196817:g:XSIAAOSw~w9hxbgm&amdata=enc%3AAQAHAAAA4BSO4DLJEOFSsO0xZ2wuHUQk9OKbLKtSUWiYDXvyQROSFsyTcbwfkUnU3%2BERh5GpwB5qAMhXRzKmHZdibYspHfYTy9JPVYVg2oDczQGWKmYMUpXemOwhAmlJkZyeBl3KvznRilmlNh7hURwwVZ2XpeIpxl5j5TiQVsPJTVqp51zclqRzTbzzBPRbd83WeaRwL4s4PnPGaHrYS%2FrQfO5rkDpfQbp3aMRiWvydYfZnHDmuu73JyYmSQZE46zt2AqbkTA5hef3uomzq0LdIE9a3mWJjQplhM5LpQ3RlOyd9qN5H%7Ctkp%3ABk9SR4y_ic_tYA
It - Free Shipping!,4.47,FALSE,https://www.ebay.com/itm/155169944590?hash=item2420d9740e:g:~7gAAOSwH1xf~3-R&amdata=enc%3AAQAHAAAA4PJ21f3bQY3kKfVpvpfrbv0V4RhhjSoZa%2BmiEoVXlkWfbRSdM%2BsPYPAJQgiJZZO3LAZY6Z6TeBaCRb8OeZfz0M1HJEbD2xzM0YZeUsLQZ5x4qyACvqp8OoIae%2FqoDDLGELucw86N952xQRInIH5SnKmvIQ%2F9o3w2Hv792pwLSJnwTpZftfyxE5Uhgjf9Weuhv0hE7QpfiOkFH7o9V76Y2xjd1KhBDttuf1k2BQmE5NLDKi5bHqMxiJm036l4MMeqM0syzOsWoJyvsiMkg%2FflmbUJfA4xl5GyjDwd2oNS1JgA%7Ctkp%3ABk9SR5K_ic_tYA
"7, 1st Printing Stephen King Mass Market  It Dark Tower Gerald's Game Wastelands",6,TRUE,https://www.ebay.com/itm/175421576694?hash=item28d7f0d5f6:g:5HkAAOSwwJZi~pt~&amdata=enc%3AAQAHAAAAoO213yokjv2Nv8P3DEcoqTjZqtOtD7tgBhr5aD7Ge9t5wvQuv7QGm8M%2BLpCSvHHaz2xnDV5jx25W44hhtQjQSbEmWvkB%2FdaqqFqPRcQyWT5wyc%2FwfCvOI5%2FB1G5ploVaR8yGFuc99z0I7IDraCsJFT217fMybeMqfd21uggtB3OJCYoPZrm9y8r98%2FIlNZVrVW1%2BRbzNKJyyekJiSdcLpzA%3D%7Ctkp%3ABk9SR5K_ic_tYA
"It by King, Stephen",6.37,FALSE,https://www.ebay.com/itm/195366012357?epid=219406876&hash=item2d7cb8c5c5:g:GT8AAOSwLEdf~o4Z&amdata=enc%3AAQAHAAAAoLsM5AG73tv61fp6KGXoQ3Z3yHAySrubWxvTZSyN2gKd7ZGHFP14nCH4%2Fo%2FN4SwZBDObveT6fd0ih9GLeA3f3jCVGpTthgasyhj6P0AtJby%2BrQQnlbiX1pUGQ8%2BAEklE0lYPeS1OrJSS4HhfJjG8pH2KLLOcCDK8HGIELlk3cr2ehuFblod2JDpy48oE4t2N2HGos2%2F9D%2FfsGjIsbAp%2BXIY%3D%7Ctkp%3ABk9SR5K_ic_tYA
Lot of 4 Stephen King Books - IT | Misery | Gerald’s Game | Different Seasons,7.75,FALSE,https://www.ebay.com/itm/363742022557?epid=476974&hash=item54b0b6cb9d:g:MKEAAOSw4uViZsMJ&amdata=enc%3AAQAHAAAA4NiV00bPX2xv0Kue1rITN5ouAr9s30hdSTpJrQSljzJl137a7PVBXYARyOYz8ynY2BTpTdBds6auDYo9%2BORqhimdvD95ZdzKUt5pA00a8RVKxas0fctVPl3vtlygaaJ05Qh4rH7rYFk8JYikJZ1eYYO7ON050pbVdXtuEhhMzCrYBUG8bgersHWGvhX4ebLs5tilmDvZJxkWLvcZs9qXXS%2FsOfxHuaZsRPsG5fIIuCHHje3XLbIJTyMTaeNxIPrkl%2BN6wxrj3%2F5vJ9PBg51jSjtbpj0lqAi%2FuUVCDfN14drO%7Ctkp%3ABk9SR5K_ic_tYA
Stephen King IT Softcover Book Signet Novel,11.82,FALSE,https://www.ebay.com/itm/125294857394?epid=476974&hash=item1d2c27ccb2:g:JvAAAOSwgJljGsFb&amdata=enc%3AAQAHAAAA4JJBaXZ5P%2FiOmXTz9pwscfPmyh%2FP3IwmZZXNfUF%2F6aXR2qas8c7%2B16NfNbOyw23CUQ%2FJOARuEpXT0J%2FTvYQklYBAxPKNSsv7xJXq6SazZ1glO6pMXsgBQs65Lf1zgBhrKS5xsox35CB7FQ5vAA7csZDi0MAw9aZlU5vrldlIsS0UIfTMtJKKxyA7DUUYWnOtYIA28ZF7Ok81dS%2FzSxF%2F9F3TLStIy3zGnbSzhUe8sG92Y6POMDMbtxKHYSZE2T1Em%2B9ywUAcRGA5k2fqUhUpVF98tm3niwzMJJGZq9RGeDW%2F%7Ctkp%3ABk9SR4y_ic_tYA
IT by Stephen King TRUE $22.95 First Edition Viking Hardcover,11.9,TRUE,https://www.ebay.com/itm/325353508102?epid=490966&hash=item4bc0948d06:g:epkAAOSwBlZjLPre&amdata=enc%3AAQAHAAAAoLCnx1VIqVh6MiUnHaJIFU9Mbq2yHEgtBq4lQ1d%2BHl649Yg4puMdhrgs890QGQeLT%2F1w2AULA6puc8u4g9YFR6nzJnDPCRIt79PqzAbssgOe3D7lJ8yvks2OrJnj%2BgBjWptMOMQGTFmEl08yGVcZpz56M7nfrS7qCAVzzvIjjApBH8Idu36KqkhqOqhM4lPEvzGl%2F%2FLihQbuQHiUviMbWvU%3D%7Ctkp%3ABk9SR5C_ic_tYA
It by Stephen King (First Scribner Trade Paperback Edition 2016),11.95,FALSE,https://www.ebay.com/itm/115526757730?epid=219406876&hash=item1ae5ee6d62:g:fksAAOSwV5tiqSV~&amdata=enc%3AAQAHAAAA4Cbu9pzHmlepPId1WoTL%2BMkaQlWCYd67eaw29qiwJMLXiJjeZdtD%2FMgWDEf7zj2bxEGR7Qvu%2FNuam8ceTeRb74397jTff3uoyKkMlEKojME%2Fi7eE1VaZojamFddcymjVQH%2BO6grhBmYJc6Fg7bAtkyQotpB998ERq76y2w8liPF%2FfGD0Njvg0JnblrAIGRuv8gfGoG9hNBUw4Twngo0jNzMoOQyl4l3svWqCNZtwR6B6f3%2BvnlpVPvV7FSL0%2FmlTIziB9hCdmurENCNy%2BfD%2FDScgIvnpGFnBMk487sWosZAW%7Ctkp%3ABk9SR46_ic_tYA
"It by King, Stephen",12.17,FALSE,https://www.ebay.com/itm/194531159219?epid=2177591&hash=item2d4af5ecb3:g:PiIAAOSwLulf~nAv&amdata=enc%3AAQAHAAAA4E2Ri%2FrlOUqMDaN%2BAmo3DeiVv%2Bb2VfgjNzCD5SEbBeQRbhxC8jNAfChwm%2F9KrSIRUwMCsJPE6ZlTX9lIAr4frDidfN1Pq7hUibr0Bt1xZ7cxNfYyX1YMPeKlwTwAM0EaEAA71lee%2FDh5tjP9edGggo8itAaIsAxfBsS2eiGKIoKHhkBYrkHtgEnznZR1%2FlDrLZISXyGdvW1VtHxN2Rp%2FWrRorEjykTfJ82e3ODOgh2HnMd0jGJFHCGfXm%2Ffrh642tLpM26Ek%2FFZPpT0tKL7B2mLrrtJNJh3brROXtNWLrvjd%7Ctkp%3ABFBMjL-Jz-1g
